ghost,chara_id,eye_chara_id,catalog_name,field,bin_eye_x,bin_eye_y,bin_mouth_x,bin_mouth_y,table_eye_x,table_eye_y,table_mouth_x,table_mouth_y,positions_match
amefuratchi,4048,4048,AMEFURATCHI,2,0,12,0,18,0,12,0,18,True
ananatchi,4017,4110,ANANATCHI,5,0,18,0,24,0,18,0,24,True
ankotchi,4017,4044,ANKOTCHI,2,0,23,0,33,0,23,0,33,True
axolopatchi,4038,4038,AXOLOPATCHI,2,0,22,0,23,0,22,0,23,True
azaratchi,4017,4121,AZARATCHI,6,0,11,0,17,0,11,0,17,True
babymarutchi,4017,1001,BABYMARUTCHI,0,0,30,0,32,0,30,0,32,True
batatchi,4059,4059,BATATCHI,3,0,14,0,18,0,14,0,18,True
batchi,4053,4053,BATCHI,3,0,26,0,29,0,26,0,29,True
bbmarutchi,4017,4017,BBMARUTCHI,0,0,24,0,32,0,24,0,32,True
beavertchi,4036,4036,BEAVERTCHI,2,1,11,0,12,1,11,0,12,True
bumble_young,3015,3015,BUMBLE YOUNG,3,-1,28,-1,30,-1,28,-1,30,True
chameleotchi,4017,4106,CHAMELEOTCHI,5,-6,17,0,26,-6,17,0,26,True
chirp_young,3014,3014,CHIRP  YOUNG,3,0,15,0,17,0,15,0,17,True
chodracotchi,4066,4066,CHODRACOTCHI,1,-1,15,0,18,-1,15,0,18,True
crocotchi,4017,4099,CROCOTCHI,5,0,14,0,24,0,14,0,24,True
dangouotchi,4017,4131,DANGOUOTCHI,6,-3,26,0,26,-3,26,0,26,True
eagletchi,4052,4052,EAGLETCHI,3,0,12,0,21,0,12,0,21,True
elizardotchi,4028,4028,ELIZARDOTCHI,1,0,20,0,25,0,20,0,25,True
flap_young,3013,3013,FLAP YOUNG,3,0,17,0,19,0,17,0,19,True
float_young,3012,3012,FLOAT YOUNG,2,0,17,0,19,0,17,0,19,True
forest_chirp_young,4017,3072,FOREST CHIRP YOUNG,4,0,15,0,17,0,15,0,17,True
forest_horhotchi,4017,4074,FOREST HORHOTCHI,4,0,15,0,15,0,15,0,15,True
forest_kid,4017,2069,FOREST KID,4,1,32,0,32,1,32,0,32,True
forest_roar_young,4017,3070,FOREST ROAR YOUNG,4,0,17,0,16,0,17,0,16,True
forest_sprout_young,4017,3073,FOREST SPROUT YOUNG,4,0,29,0,32,0,29,0,32,True
forest_toddle_young,4017,3071,FOREST TODDLE YOUNG,4,0,24,0,32,0,24,0,32,True
frozen_kid,4017,2113,FROZEN KID,6,1,32,0,32,1,32,0,32,True
furawatchi,4030,4030,FURAWATCHI,1,0,18,0,19,0,18,0,19,True
gemtchi,4062,4062,GEMTCHI,3,0,24,0,25,0,24,0,25,True
ginjirotchi,4017,4123,GINJIROTCHI,6,0,12,0,13,0,12,0,13,True
glacier_float_young,4017,3117,GLACIER FLOAT YOUNG,6,0,17,0,19,0,17,0,19,True
glacier_glide_young,4017,3116,GLACIER GLIDE YOUNG,6,-3,30,-3,32,-3,30,-3,32,True
glacier_roar_young,4017,3114,GLACIER ROAR YOUNG,6,0,17,0,16,0,17,0,16,True
glacier_toddle_young,4017,3115,GLACIER TODDLE YOUNG,6,0,24,0,32,0,24,0,32,True
glide_young,3009,3009,GLIDE YOUNG,2,-3,30,-3,32,-3,30,-3,32,True
gorimatchi,4017,4807,GORIMATCHI,0,0,17,0,20,0,17,0,20,True
gumax,4020,4020,GUMAX,1,1,10,0,15,1,10,0,15,True
gusokutchi,4049,4049,GUSOKUTCHI,2,0,34,0,35,0,34,0,35,True
hatchitchi,4057,4057,HATCHITCHI,3,0,11,0,16,0,11,0,16,True
heavytchi,4029,4029,HEAVYTCHI,1,0,18,0,25,0,18,0,25,True
hobohorntchi,4017,4134,HOBOHORNTCHI,6,-3,13,0,18,-1,13,2,18,False
hoppentchi,4017,4124,HOPPENTCHI,6,0,9,0,16,0,9,0,16,True
horhotchi,4050,4050,HORHOTCHI,3,0,15,0,15,0,15,0,15,True
icy_irukatchi,4017,4122,ICY IRUKATCHI,6,0,13,0,14,0,13,0,14,True
iguanatchi,4017,4107,IGUANATCHI,5,0,15,0,21,0,15,0,21,True
imoritchi,4039,4039,IMORITCHI,2,-5,11,-5,13,-5,11,-5,13,True
irukatchi,4034,4034,IRUKATCHI,2,0,13,0,14,0,13,0,14,True
ishikorotchi,4064,4064,ISHIKOROTCHI,3,0,19,0,22,0,19,0,22,True
kabutotchi,4055,4055,KABUTOTCHI,3,0,15,0,15,0,15,0,15,True
kachitchi,4017,4082,KACHITCHI,4,0,13,0,12,0,13,0,12,True
kametchi,4035,4035,KAMETCHI,2,0,26,0,30,0,26,0,30,True
kanokotchi,4017,4079,KANOKOTCHI,4,0,20,0,25,0,20,0,25,True
kawazutchi,4040,4040,KAWAZUTCHI,2,0,10,0,13,0,10,0,13,True
kiwitchi,4061,4061,KIWITCHI,3,0,7,0,13,0,7,0,13,True
koalabutchi,4017,4804,KOALABUTCHI,0,-1,19,0,17,-1,19,0,17,True
konkotchi,4017,4075,KONKOTCHI,4,-3,8,0,16,-3,8,0,16,True
kuchipatchi,4058,4058,KUCHIPATCHI,3,0,9,0,11,0,9,0,11,True
kuikuitchi,4017,4104,KUIKUITCHI,5,0,12,0,13,0,12,0,13,True
kujiratchi,4037,4037,KUJIRATCHI,2,1,24,0,32,1,24,0,32,True
kuraratchi,4046,4046,KURARATCHI,2,0,3,0,3,0,3,0,3,True
land_kid,2002,2002,LAND KID,1,0,25,0,32,0,25,0,32,True
leap_young,3010,3010,LEAP YOUNG,2,-3,26,-3,28,-3,26,-3,28,True
lemmingtchi,4017,4127,LEMMINGTCHI,6,0,20,0,24,0,20,0,24,True
leopatchi,4027,4027,LEOPATCHI,1,-5,9,0,18,-5,9,0,18,True
lessapantchi,4017,4078,LESSAPANTCHI,4,0,20,0,20,0,20,0,20,True
lick_young,4017,3007,LICK YOUNG,1,-1,18,1,24,-1,18,1,24,True
madillotchi,4017,4097,MADILLOTCHI,5,0,14,-1,17,0,14,-1,17,True
magmatchi,4065,4065,MAGMATCHI,3,0,21,0,24,0,21,0,24,True
mametchi,4022,4022,MAMETCHI,1,0,20,0,20,0,20,0,20,True
meertchi,4017,4802,MEERTCHI,0,-3,11,-3,13,-3,11,-3,13,True
mendakotchi,4017,4047,MENDAKOTCHI,2,0,26,0,25,0,26,0,25,True
meowtchi,4018,4018,MEOWTCHI,1,0,20,0,20,0,20,0,20,True
mermarintchi,4067,4067,MERMARINTCHI,2,-1,5,0,8,-1,5,0,8,True
mimitchi,4023,4023,MIMITCHI,1,0,23,0,24,0,23,0,24,True
molmotchi,4024,4024,MOLMOTCHI,1,1,8,0,12,1,8,0,12,True
mongatchi,4051,4051,MONGATCHI,3,0,13,0,15,0,13,0,15,True
moosetchi,4017,4126,MOOSETCHI,6,0,7,0,16,0,7,0,16,True
namakemotchi,4017,4103,NAMAKEMOTCHI,5,0,19,0,22,0,19,0,22,True
nappatchi,4017,4088,NAPPATCHI,4,0,27,0,32,0,27,0,32,True
nerinetchi,4017,4130,NERINETCHI,6,0,15,0,17,0,15,0,17,True
okojotchi,4017,4119,OKOJOTCHI,6,1,9,0,10,1,9,0,10,True
omarutchi,4017,4800,OMARUTCHI,0,-5,19,-5,19,-5,19,-5,19,True
oretatchi,4063,4063,ORETATCHI,3,-9,13,0,18,-9,13,0,18,True
otototchi,4045,4045,OTOTOTCHI,2,0,19,0,21,0,19,0,21,True
paddle_young,4017,3011,PADDLE YOUNG,2,-3,30,-3,32,-3,30,-3,32,True
panbootchi,4017,4081,PANBOOTCHI,4,0,19,0,24,0,19,0,24,True
papillotchi,4054,4054,PAPILLOTCHI,3,0,22,0,23,0,20,0,23,False
peacotchi,4017,4060,PEACOTCHI,3,0,21,0,27,0,21,0,27,True
peatchi,4017,4087,PEATCHI,4,1,24,0,24,1,24,0,24,True
platyputchi,4017,4805,PLATYPUTCHI,0,-2,8,0,16,-2,9,0,17,False
pochitchi,4019,4019,POCHITCHI,1,-1,7,0,16,-1,7,0,16,True
polakumatchi,4017,4120,POLAKUMATCHI,6,0,6,0,8,0,6,0,8,True
pooptchi,4017,4801,POOPTCHI,0,0,18,0,19,0,18,0,19,True
potsunentchi,4032,4032,POTSUNENTCHI,1,0,27,0,28,0,27,0,28,True
raichotchi,4017,4128,RAICHOTCHI,6,0,3,0,5,0,3,0,5,True
rakkotchi,4017,4125,RAKKOTCHI,6,0,15,0,19,0,15,0,19,True
ratchi,4017,4021,RATCHI,1,0,15,0,15,0,15,0,15,True
roar_young,3005,3005,ROAR YOUNG,1,0,17,0,16,0,17,0,16,True
rocky_young,3016,3016,ROCKY YOUNG,3,1,25,1,27,1,25,1,27,True
rushraditchi,4017,4089,RUSHRADITCHI,4,0,19,0,22,0,19,0,22,True
sebiretchi,4026,4026,SEBIRETCHI,1,-3,12,0,23,-3,12,0,23,True
sharktchi,4043,4043,SHARKTCHI,2,0,14,0,19,0,14,0,19,True
sheeptchi,4025,4025,SHEEPTCHI,1,0,19,0,25,0,19,0,25,True
shigemi_san,4033,4033,SHIGEMI-SAN,1,0,35,0,36,0,35,0,36,True
shiitaketchi,4017,4086,SHIITAKETCHI,4,1,25,0,24,1,25,0,24,True
shykutchi,4017,4806,SHYKUTCHI,0,0,12,0,16,0,12,0,16,True
shyontchi,4017,4803,SHYONTCHI,0,-3,14,-3,17,-3,14,-3,17,True
sky_kid,2004,2004,SKY KID,3,1,32,0,32,1,32,0,32,True
sparrotchi,4017,4085,SPARROTCHI,4,0,12,0,13,0,12,0,13,True
sprout_young,3008,3008,SPROUT YOUNG,1,0,29,0,32,0,29,0,32,True
suigyutchi,4017,4080,SUIGYUTCHI,4,0,16,0,23,0,16,0,23,True
tachutchi,4017,4042,TACHUTCHI,2,0,14,0,15,0,14,0,15,True
tanoontchi,4017,4077,TANOONTCHI,4,-4,14,0,16,-4,14,0,16,True
tarantytchi,4017,4098,TARANTYTCHI,5,0,24,0,32,0,24,0,32,True
tatsutchi,4017,4090,TATSUTCHI,4,0,9,0,11,0,9,0,11,True
tenatchi,4017,4102,TENATCHI,5,0,9,0,9,0,9,0,9,True
tentotchi,4056,4056,TENTOTCHI,3,-1,15,0,23,-1,15,0,23,True
tigaotchi,4017,4076,TIGAOTCHI,4,0,26,0,29,0,26,0,29,True
toddle_young,3006,3006,TODDLE YOUNG,1,0,24,0,32,0,24,0,32,True
tokipatchi,4017,4083,TOKIPATCHI,4,0,10,0,12,0,10,0,12,True
tropical_avovotchi,4017,4111,TROPICAL AVOVOTCHI,5,0,17,0,24,0,17,0,24,True
tropical_kid,4017,2091,TROPICAL KID,5,1,32,0,32,1,32,0,32,True
tropical_lick_young,4017,3094,TROPICAL LICK YOUNG,5,-1,18,1,24,-1,18,1,24,True
tropical_mametchi,4017,4100,TROPICAL MAMETCHI,5,0,20,0,20,0,20,0,20,True
tropical_manapatchi,4017,4112,TROPICAL MANAPATCHI,5,0,10,0,18,0,10,0,18,True
tropical_meowtchi,4017,4096,TROPICAL MEOWTCHI,5,0,20,0,20,0,20,0,20,True
tropical_parorotchi,4017,4101,TROPICAL PAROROTCHI,5,-1,11,0,13,-1,11,0,13,True
tropical_poizutchi,4017,4105,TROPICAL POIZUTCHI,5,0,14,0,16,0,14,0,16,True
tropical_potsunentchi,4017,4109,TROPICAL POTSUNENTCHI,5,0,27,0,28,0,27,0,28,True
tropical_roar_young,4017,3092,TROPICAL ROAR YOUNG,5,0,17,0,16,0,17,0,16,True
tropical_sprout_young,4017,3095,TROPICAL SPROUT YOUNG,5,0,29,0,32,0,29,0,32,True
tropical_toddle_young,4017,3093,TROPICAL TODDLE YOUNG,5,0,24,0,32,0,24,0,32,True
tustustchi,4031,4031,TUSTUSTCHI,1,1,12,0,16,1,12,0,16,True
uruotchi,4041,4041,URUOTCHI,2,-2,26,0,34,-2,26,0,34,True
water_kid,2003,2003,WATER KID,2,0,31,0,32,0,31,0,32,True
wolftchi,4017,4118,WOLFTCHI,6,-2,13,0,19,0,13,2,19,False
yashikitchi,4017,4108,YASHIKITCHI,5,0,25,0,30,0,25,0,30,True
yayacorntchi,4068,4068,YAYACORNTCHI,3,-1,26,0,29,-1,26,0,29,True
yaytytchi,4017,4132,YAYTYTCHI,6,0,25,0,31,0,25,0,31,True
yukiraratchi,4017,4133,YUKIRARATCHI,6,0,19,0,28,0,19,0,28,True
yukiusatchi,4017,4129,YUKIUSATCHI,6,0,18,0,23,0,18,0,23,True
